"Sample" "Detector" "Cq"
"1034V12a" "B2M_RQ" 0.1655887519652
"1034V12a" "RPL29_RQ" 0.477954520973146
"1034V12c" "ACTB_RQ" 0.0122035436468846
"1034V12c" "B2M_RQ" 0.016402114023297
"1034V12c" "RPL29_RQ" 0.086228356404966
"1034V13a" "ACTB_RQ" 0.393721964497621
"1034V13a" "B2M_RQ" 0.23915793303789
"1034V13a" "RPL29_RQ" 0.572821431072824
"1034V13c" "ACTB_RQ" 0.166981639688299
"1034V13c" "B2M_RQ" 0.0559841057339721
"1034V13c" "RPL29_RQ" 0.301885346857659
"1038S2a" "ACTB_RQ" 0.21301832798591
"1038S2a" "B2M_RQ" 0.129242602223421
"1038S2a" "RPL29_RQ" 0.318408188273511
"1038S2c" "ACTB_RQ" 0.0544291327010862
"1038S2c" "B2M_RQ" 0.0481833411775415
"1038S2c" "RPL29_RQ" 0.15576770254713
"1038V10a" "ACTB_RQ" 0.299454597944861
"1038V10a" "B2M_RQ" 0.199773811505179
"1038V10a" "RPL29_RQ" 0.332769011055029
"1038V10c" "ACTB_RQ" 0.0978827490900369
"1038V10c" "B2M_RQ" 0.121363101743566
"1038V10c" "RPL29_RQ" 0.224693500752264
"1038V11a" "ACTB_RQ" 0.288459620999785
"1038V11a" "B2M_RQ" 0.146563858502651
"1038V11a" "RPL29_RQ" 0.407417804941417
"1038V11c" "ACTB_RQ" 0.19962610649182
"1038V11c" "B2M_RQ" 0.118878589249676
"1038V11c" "RPL29_RQ" 0.396473318178847
"1039S2a" "ACTB_RQ" 0.188650306655813
"1039S2a" "B2M_RQ" 0.176774177651786
"1039S2a" "RPL29_RQ" 0.433499551657545
"1039S2c" "ACTB_RQ" 0.0253960854258155
"1039S2c" "B2M_RQ" 0.0144199906313892
"1039S2c" "RPL29_RQ" 0.115924048290272
"1039V10a" "ACTB_RQ" 0.0134700725835574
